Date,Time,Open,Max,Min,Closure,Volume
2015.04.30,00:00,1.1115,1.1265,1.1071,1.1213,22368
2015.05.01,00:00,1.1214,1.1289,1.1174,1.1203,14223
2015.05.04,00:00,1.1194,1.1223,1.1122,1.1148,12463
2015.05.05,00:00,1.1147,1.1222,1.1065,1.1185,16016
2015.05.06,00:00,1.1186,1.1369,1.1174,1.1342,19825
2015.05.07,00:00,1.1343,1.1391,1.1236,1.1251,17932
2015.05.08,00:00,1.1252,1.1288,1.1179,1.1198,18556
2015.05.11,00:00,1.1201,1.1204,1.1130,1.1151,14107
2015.05.12,00:00,1.1152,1.1278,1.1133,1.1221,14705
2015.05.13,00:00,1.1220,1.1382,1.1202,1.1349,14471
2015.05.14,00:00,1.1350,1.1444,1.1340,1.1406,15498
2015.05.15,00:00,1.1407,1.1466,1.1323,1.1450,14906
2015.05.18,00:00,1.1442,1.1446,1.1298,1.1313,12173
2015.05.19,00:00,1.1314,1.1325,1.1118,1.1145,15225
2015.05.20,00:00,1.1144,1.1151,1.1061,1.1091,17114
2015.05.21,00:00,1.1090,1.1180,1.1079,1.1107,15295
2015.05.22,00:00,1.1106,1.1207,1.1001,1.1021,14848
2015.05.25,00:00,1.0981,1.1009,1.0958,1.0979,7175
2015.05.26,00:00,1.0980,1.0980,1.0862,1.0872,16618
2015.05.27,00:00,1.0873,1.0928,1.0818,1.0899,15082
2015.05.28,00:00,1.0900,1.0971,1.0867,1.0957,16630
2015.05.29,00:00,1.0958,1.1005,1.0925,1.0990,15299
2015.06.01,00:00,1.0980,1.0983,1.0886,1.0921,14903
2015.06.02,00:00,1.0922,1.1192,1.0915,1.1151,19991
2015.06.03,00:00,1.1150,1.1284,1.1079,1.1267,20130
2015.06.04,00:00,1.1266,1.1379,1.1220,1.1223,18214
2015.06.05,00:00,1.1224,1.1279,1.1049,1.1114,19185
2015.06.08,00:00,1.1098,1.1306,1.1083,1.1279,17593
2015.06.09,00:00,1.1280,1.1344,1.1213,1.1275,18436
2015.06.10,00:00,1.1276,1.1385,1.1259,1.1318,21130
2015.06.11,00:00,1.1319,1.1330,1.1181,1.1237,16537
2015.06.12,00:00,1.1238,1.1295,1.1150,1.1264,17001
2015.06.15,00:00,1.1216,1.1294,1.1188,1.1280,14055
2015.06.16,00:00,1.1279,1.1329,1.1204,1.1244,12428
2015.06.17,00:00,1.1245,1.1357,1.1206,1.1340,16393
2015.06.18,00:00,1.1339,1.1435,1.1329,1.1368,17682
2015.06.19,00:00,1.1367,1.1397,1.1291,1.1352,13171
2015.06.22,00:00,1.1367,1.1409,1.1311,1.1339,13565
2015.06.23,00:00,1.1340,1.1347,1.1134,1.1166,15218
2015.06.24,00:00,1.1165,1.1234,1.1159,1.1203,15004
2015.06.25,00:00,1.1202,1.1227,1.1153,1.1200,12668
2015.06.26,00:00,1.1199,1.1219,1.1129,1.1166,11522
2015.06.29,00:00,1.0987,1.1278,1.0954,1.1229,23790
2015.06.30,00:00,1.1230,1.1243,1.1112,1.1142,17405
2015.07.01,00:00,1.1143,1.1171,1.1042,1.1054,13277
2015.07.02,00:00,1.1053,1.1120,1.1031,1.1085,12308
2015.07.03,00:00,1.1084,1.1117,1.1064,1.1110,8767
